Orthogroup	Acropora_digitifera	Acropora_millepora	Aiptasia_sp	Amplexidiscus_fenestrafer	Aurelia_aurita_ATL	Aurelia_aurita_PAC	Clytia_hemisphaerica	Dendronephthya_gigantea	Discosoma_sp	Fungia_spp	Galaxea_fascicularis	Goniastrea_aspera	Hydra_vulgaris	Montipora_capitata	Morbakka_virulenta	Nematostella_vectensis	Orbicella_faveolata	Pocillopora_damicornis	Pocillopora_meandrina	Pocillopora_verrucosa	Porites_evermanni	Porites_lobata	Porites_lutea	Porites_rus	Stylophora_pistillata	Total
OG0000070	4	68	7	13	5	6	22	0	33	15	22	65	0	58	0	0	4	10	33	5	42	100	17	19	11	559
OG0000071	29	41	16	42	12	6	28	8	45	10	13	24	4	151	0	3	14	8	10	6	13	26	5	13	14	541
OG0000072	0	1	3	7	0	0	0	4	7	64	10	45	0	28	0	17	41	17	62	7	54	114	33	26	1	541
OG0000073	17	15	24	6	2	0	0	89	4	31	38	21	0	14	1	50	18	16	16	25	34	35	33	30	17	536
OG0000074	18	14	12	7	39	16	18	6	15	43	17	39	13	19	15	61	49	19	18	14	17	18	15	17	14	533
OG0000075	13	19	10	3	1	3	3	10	5	32	19	27	2	24	1	11	26	45	102	38	28	29	21	20	39	531
OG0000076	8	10	2	3	0	0	5	3	5	32	5	107	0	48	0	2	8	13	30	24	54	100	39	20	10	528
OG0000077	21	11	17	14	53	35	69	16	16	10	1	22	80	67	0	2	1	8	6	10	7	4	2	6	47	525
OG0000078	4	19	26	40	0	0	4	19	24	23	9	36	0	90	0	3	7	23	28	8	41	67	17	18	17	523
OG0000079	12	16	0	39	4	2	3	4	46	17	8	25	18	187	0	0	3	9	13	17	18	32	15	17	15	520
OG0000080	18	33	35	49	22	24	18	8	38	10	11	21	0	119	0	5	4	5	15	27	5	9	7	14	9	506
OG0000081	10	14	31	8	43	17	38	8	12	40	10	21	10	18	30	29	25	15	13	17	23	19	21	15	16	503
OG0000082	4	31	32	14	8	6	16	6	12	10	11	30	0	154	0	6	3	1	19	6	24	53	6	11	28	491
OG0000083	5	4	5	9	19	8	0	1	13	41	15	44	0	15	0	1	26	13	28	33	36	35	40	50	36	477
OG0000084	6	7	1	0	0	0	1	0	0	27	7	60	1	6	0	3	21	50	60	84	26	18	38	26	33	475
OG0000085	7	4	22	1	0	0	4	16	3	6	1	5	21	45	8	0	8	7	61	53	53	26	2	40	79	472
OG0000086	4	29	7	5	8	11	37	61	63	12	21	40	0	25	0	0	3	22	21	17	7	33	13	26	7	472
OG0000087	0	5	12	7	33	29	10	0	8	0	6	8	261	21	14	5	0	3	4	0	4	16	7	6	3	462
OG0000088	21	25	4	21	1	2	2	1	20	28	13	41	0	69	73	0	0	18	4	30	6	7	15	17	39	457
OG0000089	12	34	0	11	2	3	1	0	3	93	11	33	0	4	0	3	18	18	26	18	39	56	29	28	14	456
OG0000090	13	16	6	34	24	51	3	44	19	23	9	42	0	80	0	9	6	1	1	0	17	38	8	5	6	455
OG0000091	17	13	9	6	1	1	0	16	9	54	17	34	0	34	1	32	26	22	37	13	29	29	25	19	7	451
OG0000092	21	38	8	3	0	0	0	0	1	43	21	25	2	55	0	8	22	31	43	17	36	34	13	22	6	449
OG0000093	14	17	13	6	0	1	8	9	6	33	18	31	3	39	0	5	33	10	13	12	40	38	39	42	15	445
OG0000094	16	9	14	21	21	20	15	8	15	20	15	16	15	15	15	17	42	18	15	18	23	19	21	22	12	442
OG0000095	25	43	7	4	1	0	0	0	6	10	9	21	0	24	0	0	0	10	13	11	29	61	18	57	91	440
OG0000096	18	19	19	5	0	0	0	11	4	36	15	19	0	10	0	13	15	21	59	63	21	18	22	11	40	439
OG0000097	39	29	0	1	0	0	0	1	1	37	5	37	0	23	0	0	25	6	20	17	44	62	29	51	11	438
OG0000098	17	14	23	18	8	5	5	9	16	28	17	30	4	27	8	15	30	19	18	23	23	16	19	26	19	437
OG0000099	43	7	1	0	0	0	0	19	0	39	1	24	0	20	0	0	14	4	32	31	47	58	20	47	26	433
OG0000100	9	0	10	6	20	16	21	10	7	26	5	12	1	33	1	3	16	25	31	24	41	44	12	35	21	429
OG0000101	9	20	31	10	7	8	21	7	10	11	4	40	53	79	0	9	2	0	0	0	31	47	17	8	3	427
OG0000102	7	34	14	1	2	3	4	2	11	39	18	42	2	96	1	3	13	10	20	20	11	25	19	17	12	426
OG0000103	44	50	0	3	0	0	0	7	2	18	8	8	0	3	0	0	11	3	39	40	43	37	47	39	21	423
OG0000104	16	16	30	4	5	2	3	16	3	19	14	29	6	26	5	25	21	7	8	10	29	51	26	34	10	415
OG0000105	28	24	6	6	9	6	3	29	10	14	17	24	4	23	0	13	30	13	14	17	40	21	18	31	12	412
OG0000106	29	18	6	8	1	3	0	4	8	27	16	35	2	38	5	3	22	25	25	17	31	25	20	19	24	411
OG0000107	12	10	15	11	17	10	46	10	21	16	4	10	1	76	0	1	6	2	7	9	14	22	3	74	10	407
OG0000108	16	10	20	18	14	4	6	0	20	30	20	33	0	23	4	21	35	11	12	13	21	24	19	19	13	406
OG0000109	31	19	16	26	9	5	7	5	10	20	10	19	34	17	0	5	31	11	11	15	21	16	17	32	19	406
OG0000110	6	7	22	9	3	5	1	9	8	32	21	20	0	24	0	18	30	12	14	15	31	44	24	39	11	405
OG0000111	0	0	4	1	17	33	0	0	2	0	0	1	0	21	318	0	0	0	0	0	1	1	0	3	0	402
OG0000112	7	38	8	21	17	22	4	34	39	18	21	27	21	56	18	3	2	3	10	1	5	9	4	5	7	400
OG0000113	35	36	7	5	4	3	0	11	6	37	9	27	0	6	0	2	15	16	19	23	23	26	26	28	34	398
OG0000114	15	13	15	9	11	17	14	24	8	17	16	15	17	17	14	24	29	15	12	19	15	13	16	15	16	396
OG0000115	7	6	11	10	14	6	14	13	15	28	14	28	19	12	10	22	27	17	16	19	21	17	15	17	16	394
OG0000116	15	44	13	13	1	1	3	8	12	30	17	29	2	33	8	0	5	26	32	41	14	14	10	16	7	394
OG0000117	7	9	13	29	16	8	7	31	33	7	8	23	5	94	0	1	7	5	19	6	12	26	7	4	16	393
OG0000118	3	11	4	8	7	5	6	21	4	29	17	26	3	34	1	20	41	16	25	13	26	24	21	24	3	392
OG0000119	2	3	21	9	25	32	9	11	14	13	2	12	57	35	9	8	8	7	24	14	9	27	14	15	10	390
OG0000120	3	3	0	5	0	0	0	0	7	14	5	68	0	13	0	0	8	14	24	12	34	91	57	14	16	388
OG0000121	7	14	15	16	21	9	18	22	18	25	10	21	1	10	3	10	25	14	18	15	27	18	25	14	11	387
OG0000122	4	13	4	1	10	2	32	2	9	71	30	119	0	0	0	10	5	0	1	0	12	29	19	12	0	385
OG0000123	8	17	9	19	4	1	1	62	21	21	18	18	0	92	0	1	1	0	0	0	23	32	18	12	3	381
OG0000124	1	39	4	19	12	18	0	20	18	4	17	13	16	126	0	0	2	4	7	6	10	16	7	12	10	381
OG0000125	4	8	17	13	21	17	18	36	9	17	11	53	0	27	0	0	3	6	13	5	18	35	15	17	16	379
OG0000126	26	8	19	9	37	30	9	11	11	13	12	16	14	16	32	14	13	7	8	7	17	11	12	19	7	378
OG0000127	9	5	34	28	0	0	0	1	15	11	6	8	0	86	0	1	37	19	35	9	13	36	9	7	5	374
OG0000128	11	15	1	3	0	0	0	0	3	36	18	39	0	7	0	3	13	36	52	56	19	13	15	13	21	374
OG0000129	19	9	5	7	6	2	6	42	7	23	13	16	0	10	3	2	22	11	16	20	30	31	29	22	21	372
OG0000130	4	15	9	12	8	4	10	97	21	9	10	12	32	51	0	6	5	6	14	3	9	15	8	7	3	370
OG0000131	0	3	1	0	151	152	9	0	0	5	1	2	2	10	0	0	0	10	4	2	8	7	0	3	0	370
OG0000132	1	0	15	37	0	0	0	2	23	29	14	21	1	35	0	4	10	11	48	29	14	19	14	25	17	369
OG0000133	42	59	0	0	0	0	0	0	0	33	4	14	0	6	0	1	14	12	18	16	31	36	35	34	13	368
OG0000134	8	64	9	15	0	2	26	2	27	15	10	41	0	28	0	3	3	8	11	8	21	24	15	22	6	368
OG0000135	16	11	12	7	26	21	7	14	9	15	16	16	13	23	14	28	12	13	17	12	15	9	9	13	17	365
OG0000136	11	13	11	8	15	6	7	17	10	16	14	16	9	17	14	17	40	15	18	16	18	14	15	14	13	364
OG0000137	13	7	0	4	0	0	0	0	13	21	8	4	0	19	0	0	11	7	31	31	47	30	36	61	21	364
OG0000138	1	9	5	24	0	2	0	7	36	0	1	12	1	190	0	12	5	10	6	3	5	9	2	19	5	364
OG0000139	9	25	12	6	3	2	9	5	14	22	8	37	7	154	0	1	5	4	16	8	2	5	5	2	3	364
OG0000140	0	0	0	0	0	0	0	0	0	0	0	0	363	0	0	0	0	0	0	0	0	0	0	0	0	363
OG0000141	9	17	17	14	17	10	0	18	13	9	6	25	0	47	0	1	5	1	1	1	22	96	19	6	6	360
OG0000142	5	15	8	24	12	6	6	4	31	11	13	27	0	112	0	0	0	4	1	0	20	21	17	19	1	357
OG0000143	3	20	24	17	0	0	0	1	2	32	3	37	0	13	0	0	5	19	37	16	39	42	14	18	15	357
OG0000144	9	0	3	7	0	2	4	2	9	0	0	0	100	37	163	0	0	0	1	1	1	1	3	5	8	356
OG0000145	5	19	15	13	19	14	23	14	19	15	9	47	0	27	0	3	4	5	11	3	18	29	17	12	15	356
OG0000146	15	28	0	22	0	0	16	0	2	10	16	38	2	84	0	0	6	3	4	5	29	23	14	24	5	346
OG0000147	16	11	13	12	16	20	8	23	11	16	12	16	13	12	17	17	17	12	12	11	13	9	12	12	14	345
OG0000148	2	4	3	0	23	8	1	22	14	0	1	38	32	39	91	0	0	2	9	2	13	17	7	7	9	344
OG0000149	9	11	9	8	18	9	12	2	12	19	14	18	17	19	13	15	9	6	9	4	34	33	22	18	3	343
OG0000150	11	10	7	24	3	3	17	10	26	9	10	23	0	134	0	0	3	0	1	1	14	14	5	12	6	343
OG0000151	5	33	5	7	22	10	7	1	1	7	4	23	28	107	1	1	6	3	13	7	4	7	4	1	36	343
